"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/MobileStarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","24","45","10","1","29.619892","0","212"
"/Game/MobileStarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","24","45","9","1","29.448727","0","177"
"/Game/MobileStarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","24","45","10","1","29.262308","0","203"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","24","45","9","1","29.286821","0","177"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","24","45","4","1","29.460749","0","206"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","24","45","9","1","29.529797","0","177"
"/Game/MobileStarterContent/Props/Materials/M_TableRound.M_TableRound","24","45","4","1","29.783865","0","188"
"/Game/MobileStarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","24","30","10","1","18.905504","0","98"
"/Game/MobileStarterContent/Props/Materials/M_Statue.M_Statue","24","45","9","1","29.716351","0","177"
"/Game/MobileStarterContent/Props/Materials/M_Lamp.M_Lamp","24","45","4","1","29.276228","0","206"
"/Game/MobileStarterContent/Particles/Materials/M_Spark.M_Spark","24","6","6","1","2.893068","0","6"
"/Game/MobileStarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","24","8","8","1","4.189888","0","8"
"/Game/MobileStarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","24","30","8","1","19.949991","0","98"
"/Game/MobileStarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","24","6","6","1","2.950904","0","8"
"/Game/MobileStarterContent/Materials/M_Basic_Floor.M_Basic_Floor","24","45","9","1","27.517769","0","177"
"/Game/MobileStarterContent/Props/Materials/M_Shelf.M_Shelf","24","45","10","1","29.624687","0","197"
"/Game/MobileStarterContent/Props/Materials/M_Rock.M_Rock","24","45","9","1","28.559750","0","177"
"/Game/MobileStarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","24","15","4","1","9.975674","0","44"
"/Game/MobileStarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","24","15","15","1","9.670603","0","24"
"/Game/MobileStarterContent/Props/Materials/M_Door.M_Door","24","45","10","1","30.488749","0","212"
"/Game/MobileStarterContent/Props/Materials/M_Bush.M_Bush","24","52","10","1","33.400299","0","228"
"/Game/MobileStarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","24","8","8","1","4.078717","0","12"
"/Game/MobileStarterContent/Particles/Materials/m_flare_01.m_flare_01","24","8","8","1","4.384978","0","14"
"/Game/MobileStarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","24","6","6","1","3.893941","0","6"
"/Game/MobileStarterContent/Particles/Materials/M_Burst.M_Burst","24","12","12","1","6.111522","0","22"
